date,ICICI_LargeMidcap,Nifty50_BeES,fund_ret,bench_ret
2008-04-23,14.64,507.5185,-0.005434782608695676,-0.005250127842749364
2008-04-24,14.59,505.1983,-0.003415300546448119,-0.004571656008598657
2008-04-25,14.91,516.4594,0.02193283070596297,0.0222904550549754
2008-04-28,14.84,514.218,-0.0046948356807512415,-0.004339934562135994
2008-04-29,15.09,524.9198,0.016846361185983927,0.020811795775332653
2008-04-30,15.01,521.9297,-0.005301524188204065,-0.005696298748875561
2008-05-02,15.17,528.1913,0.01065956029313786,0.011997017989204162
2008-05-05,15.11,524.5474,-0.0039551746868820015,-0.00689882623965965
2008-05-06,15.04,519.7297,-0.0046326935804102964,-0.009184489333089907
2008-05-07,15.02,518.785,-0.0013297872340425343,-0.0018176756109955505
2008-05-08,14.86,513.6711,-0.010652463382157085,-0.009857455400599346
2008-05-09,14.59,503.6773,-0.01816958277254377,-0.019455639999992225
2008-05-12,14.71,506.6857,0.008224811514736086,0.0059728719162051025
2008-05-13,14.55,501.1541,-0.010876954452753274,-0.010917221464904148
2008-05-14,14.73,506.5847,0.012371134020618513,0.010836187911063666
2008-05-15,15.03,517.0084,0.020366598778003953,0.020576420882825852
2008-05-16,15.15,521.2759,0.007984031936127733,0.008254217919863471
2008-05-20,15.05,515.9347,-0.0066006600660065695,-0.010246397349273129
2008-05-21,15.09,517.2452,0.0026578073089700283,0.0025400501264984943
2008-05-22,14.84,507.9449,-0.01656726308813783,-0.017980447184430037
2008-05-23,14.61,499.9879,-0.015498652291105142,-0.01566508493342489
2008-05-26,14.39,492.7674,-0.015058179329226484,-0.01444134948065745
2008-05-27,14.37,491.2212,-0.001389854065323215,-0.0031377887417065597
2008-05-28,14.54,497.1171,0.011830201809325036,0.012002535721178154
2008-05-29,14.37,489.2977,-0.011691884456671242,-0.0157294931113815
2008-05-30,14.5,492.7959,0.009046624913013224,0.007149430704456616
2008-06-02,14.18,479.6255,-0.022068965517241357,-0.026725871704695647
2008-06-03,14.07,477.2322,-0.007757404795486589,-0.00498993485542365
2008-06-04,13.7,464.0944,-0.026297085998578607,-0.02752915666629363
2008-06-05,13.96,473.2953,0.018978102189781243,0.01982549239982201
2008-06-06,13.94,468.336,-0.0014326647564470996,-0.010478236314622191
2008-06-09,13.61,455.5309,-0.023672883787661414,-0.027341694851559684
2008-06-10,13.45,450.3708,-0.011756061719324085,-0.01132766185565015
2008-06-11,13.65,457.8011,0.014869888475836479,0.016498183274759493
2008-06-12,13.7,459.3846,0.00366300366300365,0.0034589257212356284
2008-06-13,13.65,457.1345,-0.0036496350364962904,-0.004898074510987005
2008-06-16,13.8,462.7948,0.01098901098901095,0.01238213261086174
2008-06-17,14.01,470.9041,0.01521739130434785,0.017522452715544867
2008-06-18,13.82,463.862,-0.013561741613133393,-0.014954424903074748
2008-06-19,13.62,455.9816,-0.01447178002894367,-0.016988673355437633
2008-06-20,13.19,440.1862,-0.03157121879588842,-0.034640432859571635
2008-06-23,12.97,431.9887,-0.01667930250189531,-0.018622800987400323
2008-06-24,12.76,424.3948,-0.01619121048573635,-0.01757893204150951
2008-06-25,12.93,430.5919,0.013322884012539227,0.01460220530506029
2008-06-26,13.09,436.9552,0.012374323279195742,0.014778029962941641
2008-06-27,12.61,419.1099,-0.036669213139801426,-0.04084011358601525
2008-06-30,12.34,409.4035,-0.021411578112608964,-0.023159557910705453
2008-07-01,11.95,394.9092,-0.031604538087520284,-0.03540345893476726
2008-07-02,12.5,414.7154,0.046025104602510414,0.050153807508156234
2008-07-03,12.02,397.8639,-0.03839999999999999,-0.04063389013284768
2008-07-04,12.26,406.9876,0.019966722129783676,0.02293171107004177
2008-07-07,12.29,408.3808,0.002446982055464897,0.0034232001171534687
2008-07-08,12.16,404.2017,-0.010577705451586539,-0.010233341038560106
2008-07-09,12.63,421.18,0.03865131578947367,0.04200452397899368
2008-07-10,12.63,421.8914,0.0,0.0016890640581224137
2008-07-11,12.29,410.4769,-0.02692003167062562,-0.02705554083349404
2008-07-14,12.25,409.5207,-0.0032546786004881145,-0.0023294855325598496
2008-07-15,11.76,391.5207,-0.040000000000000036,-0.04395382211448651
2008-07-16,11.68,387.2616,-0.006802721088435382,-0.01087835202583154
2008-07-17,12.03,400.4456,0.02996575342465757,0.034044170658800166
2008-07-18,12.45,415.2469,0.034912718204488824,0.036962074249286214
2008-07-21,12.6,422.0162,0.012048192771084265,0.01630186763585728
2008-07-22,12.84,430.2034,0.01904761904761898,0.01940020312016455
2008-07-23,13.52,454.1233,0.048735438676587146,0.05241275355320959
2008-07-24,13.37,449.7671,-0.011094674556213047,-0.009592548983943239
2008-07-25,12.99,437.462,-0.02842183994016445,-0.0273588263792528
2008-07-28,13.05,439.4875,0.004618937644341736,0.004630116444399812
2008-07-29,12.64,425.1018,-0.03141762452107277,-0.03273289911544697
2008-07-30,13.0,437.6013,0.028481012658227778,0.029403545221403427
2008-07-31,13.06,439.7598,0.004615384615384688,0.004932572183857786
2008-08-01,13.29,447.8999,0.01761102603369058,0.01851033223136822
2008-08-04,13.25,446.1716,-0.0030097817908201208,-0.003858674672622131
2008-08-05,13.51,457.0365,0.019622641509434047,0.024351393051462722
2008-08-06,13.59,458.5164,0.005921539600296066,0.003238034598987083
2008-08-07,13.61,459.1456,0.0014716703458423908,0.0013722518976420073
2008-08-08,13.65,459.739,0.0029390154298309934,0.0012924004934382616
2008-08-11,13.86,468.9121,0.01538461538461533,0.019952842808637072
2008-08-12,13.7,462.0452,-0.011544011544011523,-0.01464432246470071
2008-08-13,13.63,459.6911,-0.005109489051094762,-0.005094956077890234
2008-08-14,13.38,449.8159,-0.018341892883345534,-0.02148225188610353
